2026-06-02 10:39:49 | INFO     | trading_bot | Logging initialised → logs\trading_bot_20260602.log
2026-06-02 10:39:49 | INFO     | trading_bot.cli | Running in MOCK mode — simulated responses, no network calls.
2026-06-02 10:39:49 | INFO     | trading_bot.mock_client | MockBinanceClient initialised — no network calls will be made. (testnet.binancefuture.com is geo-restricted in this region)
2026-06-02 10:39:49 | INFO     | trading_bot.validators | Input validated → symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop=None
2026-06-02 10:39:49 | INFO     | trading_bot.orders | [MARKET] BUY BTCUSDT qty=0.001
2026-06-02 10:39:49 | INFO     | trading_bot.mock_client | MOCK POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001'}
2026-06-02 10:39:49 | INFO     | trading_bot.mock_client | MOCK Order response: {'orderId': 4058060029, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'mock_948733067818350', 'price': '0', 'avgPrice': '96428.59000000', 'origQty': '0.001', 'executedQty': '0.001', 'cumQuote': '96.42859', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1780376989195}
2026-06-02 10:39:49 | INFO     | trading_bot.orders | [MARKET] order placed → orderId=4058060029 status=FILLED
2026-06-02 10:40:38 | INFO     | trading_bot | Logging initialised → logs\trading_bot_20260602.log
2026-06-02 10:40:38 | INFO     | trading_bot.cli | Running in MOCK mode — simulated responses, no network calls.
2026-06-02 10:40:38 | INFO     | trading_bot.mock_client | MockBinanceClient initialised — no network calls will be made. (testnet.binancefuture.com is geo-restricted in this region)
2026-06-02 10:40:38 | INFO     | trading_bot.validators | Input validated → symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop=None
2026-06-02 10:40:38 | INFO     | trading_bot.orders | [MARKET] BUY BTCUSDT qty=0.001
2026-06-02 10:40:38 | INFO     | trading_bot.mock_client | MOCK POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001'}
2026-06-02 10:40:38 | INFO     | trading_bot.mock_client | MOCK Order response: {'orderId': 4058060016, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'mock_709290370472688', 'price': '0', 'avgPrice': '96530.28000000', 'origQty': '0.001', 'executedQty': '0.001', 'cumQuote': '96.53028', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1780377038321}
2026-06-02 10:40:38 | INFO     | trading_bot.orders | [MARKET] order placed → orderId=4058060016 status=FILLED
2026-06-02 10:42:13 | INFO     | trading_bot | Logging initialised → logs\trading_bot_20260602.log
2026-06-02 10:42:13 | INFO     | trading_bot.cli | Running in MOCK mode — simulated responses, no network calls.
2026-06-02 10:42:13 | INFO     | trading_bot.mock_client | MockBinanceClient initialised — no network calls will be made. (testnet.binancefuture.com is geo-restricted in this region)
2026-06-02 10:42:13 | INFO     | trading_bot.validators | Input validated → symbol=ETHUSDT side=SELL type=LIMIT qty=0.01 price=3000 stop=None
2026-06-02 10:42:13 | INFO     | trading_bot.orders | [LIMIT] SELL ETHUSDT qty=0.01 price=3000 tif=GTC
2026-06-02 10:42:13 | INFO     | trading_bot.mock_client | MOCK POST /fapi/v1/order  params={'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.01', 'price': '3000', 'timeInForce': 'GTC'}
2026-06-02 10:42:13 | INFO     | trading_bot.mock_client | MOCK Order response: {'orderId': 4058060024, 'symbol': 'ETHUSDT', 'status': 'NEW', 'clientOrderId': 'mock_255155349701855', 'price': '3000', 'avgPrice': '0.00000000', 'origQty': '0.01', 'executedQty': '0', 'cumQuote': '0.0', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'NONE', 'goodTillDate': 0, 'updateTime': 1780377133584}
2026-06-02 10:42:13 | INFO     | trading_bot.orders | [LIMIT] order placed → orderId=4058060024 status=NEW
2026-06-02 10:42:27 | INFO     | trading_bot | Logging initialised → logs\trading_bot_20260602.log
2026-06-02 10:42:27 | INFO     | trading_bot.cli | Running in MOCK mode — simulated responses, no network calls.
2026-06-02 10:42:27 | INFO     | trading_bot.mock_client | MockBinanceClient initialised — no network calls will be made. (testnet.binancefuture.com is geo-restricted in this region)
2026-06-02 10:43:55 | INFO     | trading_bot | Logging initialised → logs\trading_bot_20260602.log
2026-06-02 10:43:55 | INFO     | trading_bot.cli | Running in MOCK mode — simulated responses, no network calls.
2026-06-02 10:43:55 | INFO     | trading_bot.mock_client | MockBinanceClient initialised — no network calls will be made. (running in mock mode for local reproducibility)
2026-06-02 10:49:14 | ERROR    | trading_bot.cli | Validation failed: Symbol '1000' length is unusual. Expected 5–12 characters.
